CodProd,Desc. Prod.,CodBarra
1002011,MINHA PRIMEIRA TRUFA 165G,7896986244971
1002073,TRUFAS E CHAVEIRO AMARELO,7896986248405
1002074,TRUFAS E CHAVEIRO VERDE,7896986248429
1002075,TRUFAS E CHAVEIRO ROSA,7896986248412
1002076,CUBO BELLAS,7896986248122
1002078,CUBO ZERO ACUCAR CHOCOBICHOS,7896986248481
1002093,PETIT DELI MORANGO INTENSO,7896986249013
1002127,CUBO CHOCOBICHOS BELLAS 145G,7896986249983
1002139,TABLETE DOCE GESTO 100G,1002139
1002145,CUBO PAIS 2024,7896986251061
1002185,CUBO PAIS ZERO ACUCAR,7896986251368
1002203,CHOCOARTE 40 GRATIDAO,7896986251917
1002207,PIRULITOS DECOR HALLOWEEN 30G,7896986253027
1002213,PACK TABLETES LACREME KIDS 72G,7896986251856
1002218,MEMORIA CHOCOBICHOS 90GX12UN,7896986251887
1002220,CX AMPLIFICADOR TABLETE 150G,7896986252303
1002224,TAB 100 AO LEITE DOCE GESTO,7896986250064
1002291,PETIT DELI TRUFINHAS AVELA,7896986254666
1002322,CX HASHTAG RAINBOW 250G,7896986254963
1002334,BB PETIT DELI 40 MORANGO,7896986255021
1002335,BB PETIT DELI 40 MARACUJA,7896986255564
1002436,CUBO ANIMAL PLANET 145G,7896986256905
1002438,BOLA CHOCOMONSTROS SURPRESA,7896986257032
1002467,CX BBS ANGEL 75 FRUTAS SILV,7896986258619
1002495,CX TAB 150 INTENSIDADE SORT,7896986259012
1002499,CX BBS DREAMS 180 SORTIDO,7896986259227
1002527,PETIT DELI CORACAO BRIGADEIRO,7896986260209
1002528,PETIT DELI CORAC DOCINHO DE COCO,7896986260223
1002529,PETIT DELI COR CEREJA SILVESTRE,7896986260247
1002530,PET DELI COR MEIO AMARGO ABERTO,7896986260216
1002531,PET DELI COR C POLPA DE MORANGO,7896986260230
1002534,CX BBS CLASSICOS 120 SORTIDO,7896986260551
1002548,CX BBS GOURMET DRINKS 185 SORT,7896986260797
1002566,CUBO TRICERATOPS 145G,7896986261145
1002567,CUBO T-REX 145G,7896986261152
1002571,PIRULITO HALLOWEEN ABOBORA 30G,7896986261121
1002572,PIRULITO HALLOWEEN FANTASMA 30G,7896986261138
1002627,CX BC MINISHOW 108 55%,7896986261688
1002628,CX LC MINISHOW  108 AO LEITE,7896986261671
1002631,CX LN MINISHOW 108 AO LEITE,7896986261817
1002640,TAB 40 AO LEITE AGREGADOS,7896986261664
1002644,TAB 40 BRANCO AGREGADOS,7896986261886
1002696,CX 7 COISAS 70 AO LEITE,7896986261510
1002735,TAB BRANCO CARTA DE AMOR 2 LINHA,7896986262975
1002744,TAB AO LEITE CARTA DE AM 2 LINHA,7896986263613
1002745,BB BROWNIE COM DOCE LEITE 81G,7896986263651
1002746,BB CHOCO QD CAFE CARAMEL 81G,7896986263675
1002747,BB CHOCO RED CREME DAMASCO 75G,7896986263668
1002755,CX BBS MAES 100 SORT,7896986264030
1002756,CX BBS MAES 200 SORT,7896986264023
1002757,CX BBS NAMORADOS 200 SORT,7896986264009
1002758,CX NAMORADOS 100 SORTIDO,7896986264016
1002775,CX BBS CORACAO LOONEY 160 BRIG,7896986264559
1002828,LATA BATMAN 160 SORTIDOS,7896986265969
1002829,LATA MULHER M 160 SORTIDOS,7896986265952
1002830,LATA SUPERMAN 160 SORTIDOS,7896986265945
1002987,CX TABLETES 120,7896986276279
1003009,CX LC MINISHOW MAES 108 AO LEITE,7896986277320
1003010,BB PETI DELI 95 AMENDOIM,7896986277344
1003011,DRAG MINI CUBO 70 MEZZO,7896986277351
1003038,CAIXA ANGEL 160G,7896986277337
1003039,"BOTAO DE ROSAS 13,3 BRIGADEIRO",7896986278167
1003044,CHOCOARTE MAES 40 TE AMO,7896986277368
1003102,CX LC MINISHOW 108 SORTIDO,7896986279782
1003105,BB  750 AMENDOIM 2L,7896986279843
